case_id,sheet,level_1_feature,level_2_feature,classification_code,classification,test_result,probe_id,runner_command,returncode,duration_seconds,implementation_entrypoints,supported_boundaries_exclusions,evidence_summary
P22-WF-L2-038,Workflow Features,POC implementation,POC Functional Readiness Validation,2,Function implemented but test failed,FAIL,wf_exp_run,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_pilot_run_parity_demo_auto_executes_local_command,1,3.644,harness/lib/graph_node_dispatcher.py::_node_evaluation_plan and artifact publication; harness/lib/plan_validator.py gate validation,Generic TestRunner/Verifier readiness is supported; domain-specific POC smoke semantics require explicit test definitions.,"                              str(marker),
                            ]
                        )
                    ],
                }
            ),
            encoding=""utf-8"",
        )

        proc = run_shim(
            tmp_path,
            ""$exp-pilot-run"",
            ""pilot-parity-001"",
            ""--allowlist-evidence"",
            str(allowlist),
            ""--gate-mode"",
            ""parity_demo"",
            ""--run-id"",
            ""shim-exp-pilot-run-parity-command"",
        )
>       assert proc.returncode == 0, proc.stderr
E       AssertionError:
E       assert 2 == 0
E        +  where 2 = CompletedProcess(args=['C:\\Users\\j50058254\\Desktop\\Github repo\\OpenSolar-Canonical\\.venv\\Scripts\\python.exe', ...un"",\n  ""status"": ""failed"",\n  ""work_dir"": ""artifacts/autosci/runs/shim-exp-pilot-run-parity-command""\n}\n', stderr='').returncode

tests\plugins\autosci\test_autosci_skill_shim.py:2860: AssertionError
=========================== short test summary info ===========================
FAILED tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_pilot_run_parity_demo_auto_executes_local_command
1 failed in 2.78s
"
P22-WF-L2-039,Workflow Features,POC implementation,Testable POC Artifact Consolidation & Benchmark Handoff,2,Function implemented but test failed,FAIL,wf_exp_run,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_pilot_run_parity_demo_auto_executes_local_command,1,3.644,harness/lib/graph_node_dispatcher.py::_node_evaluation_plan and manifest publication; harness/tools/codex_pm_router.py::_node_enrichment,Generic artifact consolidation exists; no typed `poc_bundle.v1` or automatic benchmark ingestion contract was found.,"                              str(marker),
                            ]
                        )
                    ],
                }
            ),
            encoding=""utf-8"",
        )

        proc = run_shim(
            tmp_path,
            ""$exp-pilot-run"",
            ""pilot-parity-001"",
            ""--allowlist-evidence"",
            str(allowlist),
            ""--gate-mode"",
            ""parity_demo"",
            ""--run-id"",
            ""shim-exp-pilot-run-parity-command"",
        )
>       assert proc.returncode == 0, proc.stderr
E       AssertionError:
E       assert 2 == 0
E        +  where 2 = CompletedProcess(args=['C:\\Users\\j50058254\\Desktop\\Github repo\\OpenSolar-Canonical\\.venv\\Scripts\\python.exe', ...un"",\n  ""status"": ""failed"",\n  ""work_dir"": ""artifacts/autosci/runs/shim-exp-pilot-run-parity-command""\n}\n', stderr='').returncode

tests\plugins\autosci\test_autosci_skill_shim.py:2860: AssertionError
=========================== short test summary info ===========================
FAILED tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_pilot_run_parity_demo_auto_executes_local_command
1 failed in 2.78s
"
P22-WF-L2-040,Workflow Features,Benchmarking,Benchmark Framing,1,Function implemented and test passed,PASS,wf_core_benchmark,C:\Users\j50058254\.cache\codex-runtimes\codex-primary-runtime\dependencies\node\bin\node.exe --experimental-transform-types --loader ./tests/platform/phase22/node_typescript_loader.mjs --test ./tests/workflow/benchmarking/test_core_benchmark_behavior.mjs,0,0.549,"core/benchmark/schema.ts; core/benchmark/reporter.ts::collectMetadata, createBenchmarkResult; core/benchmark/trend.ts::getBaseline, setBaseline",Core types support framing and metadata; explicit claim IDs and complete version-history governance are caller-provided.,Executable representative-core probe passed.
P22-WF-L2-041,Workflow Features,Benchmarking,Benchmark Protocol & Asset Preparation,1,Function implemented and test passed,PASS,wf_benchmark_registry,.\.venv\Scripts\python.exe -m pytest -q tests/harness/benchmark/test_benchmark_registry.py::test_register_then_get_roundtrip,0,2.148,"skills/benchmark/SKILL.md; core/benchmark/schema.ts::BenchmarkConfig, BENCHMARK_PRESETS","Minimum 10 iterations, median, IQR outlier removal, and variability guidance are documented; datasets/workload/resource isolation are not prepared by core/benchmark.",Executable representative-core probe passed.
P22-WF-L2-042,Workflow Features,Benchmarking,Benchmark Execution,2,Function implemented but test failed,FAIL,wf_benchmark_execution,.\.venv\Scripts\python.exe -m pytest -q tests/harness/benchmark/test_terminal_bench_adapter.py::test_empty_missing_prereqs_allows_dry_run_ok,1,2.421,skills/benchmark/SKILL.md; core/benchmark/reporter.ts::createBenchmarkResult,"The skill describes execution, but `core/benchmark` does not embed a generic workload runner; actual execution belongs to caller/Ops tooling.","(""harness.lib.benchmark.harbor_adapter.detect"",
                   return_value=(True, ""binary"")):
            result = TerminalBench20Adapter().run(req)
>       assert result.verdict == ""ok""
E       AssertionError: assert 'pending' == 'ok'
E
E         - ok
E         + pending

tests\harness\benchmark\test_terminal_bench_adapter.py:192: AssertionError
============================== warnings summary ===============================
tests/harness/benchmark/test_terminal_bench_adapter.py::test_empty_missing_prereqs_allows_dry_run_ok
  C:\Users\j50058254\Desktop\Github repo\OpenSolar-Canonical\harness\lib\benchmark\schemas.py:121: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
    stamp = datetime.datetime.utcnow().strftime(""%Y%m%d%H%M%S"")

-- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html
=========================== short test summary info ===========================
FAILED tests/harness/benchmark/test_terminal_bench_adapter.py::test_empty_missing_prereqs_allows_dry_run_ok
1 failed, 1 warning in 1.32s
"
P22-WF-L2-043,Workflow Features,Benchmarking,Metrics & Run Evidence Collection,1,Function implemented and test passed,PASS,wf_core_benchmark,C:\Users\j50058254\.cache\codex-runtimes\codex-primary-runtime\dependencies\node\bin\node.exe --experimental-transform-types --loader ./tests/platform/phase22/node_typescript_loader.mjs --test ./tests/workflow/benchmarking/test_core_benchmark_behavior.mjs,0,0.549,"core/benchmark/reporter.ts::collectMetadata, createBenchmarkResult, exportJSON, exportMarkdown, exportCSV, exportRawData; core/benchmark/statistics.ts::computeStatistics","Metrics/statistics and environment metadata are strong; complete run logs, failure logs, resource usage, and provenance chain remain caller conventions.",Executable representative-core probe passed.
P22-WF-L2-044,Workflow Features,Benchmarking,Comparative Result Analysis & Benchmark Result Packaging,1,Function implemented and test passed,PASS,wf_benchmark_report,.\.venv\Scripts\python.exe -m pytest -q tests/harness/benchmark/test_benchmark_report_schema.py::test_run_json_contains_all_required_fields,0,2.11,"core/benchmark/reporter.ts::compareBenchmarks, generateReport, exportJSON, exportMarkdown, exportCSV; core/benchmark/statistics.ts; core/benchmark/trend.ts",Strong for numeric comparisons/statistics; domain interpretation and automatic mapping to product claims/acceptance criteria are outside this module.,Executable representative-core probe passed.
P22-WF-L2-045,Workflow Features,Evaluation,Evaluation Scope & Evidence Assembly,1,Function implemented and test passed,PASS,wf_evaluation,.\.venv\Scripts\python.exe -m pytest -q tests/harness/research_unit/test_evaluator.py::test_evaluate_artifacts_passes_complete_artifact_set,0,1.9,"harness/lib/research/evaluator.py::evaluate_artifacts, evaluate_final_closeout; harness/plugins/autosci adapters",Research evaluation assembly is implemented; generic benchmark-to-requirement assembly relies on external orchestration/IDs.,Executable representative-core probe passed.
P22-WF-L2-046,Workflow Features,Evaluation,Evidence Completeness & Provenance Review,1,Function implemented and test passed,PASS,wf_grounded,.\.venv\Scripts\python.exe -m pytest -q tests/harness/scenarios/test_p7_grounded_synthesis.py::test_fixed_source_packs_compile_to_a_passing_topic_general_report,0,2.241,"harness/lib/research/evaluator.py::evaluate_retrieval_closeout, evaluate_artifacts; harness/lib/research/grounded_synthesis.py",Traceability and containment checks are concrete; detecting every form of fabricated material cannot be guaranteed by structural checks alone.,Executable representative-core probe passed.
P22-WF-L2-047,Workflow Features,Evaluation,"Experimental, Reasoning & External Validity Review",1,Function implemented and test passed,PASS,wf_artifact_review,.\.venv\Scripts\python.exe -m pytest -q tests/harness/evaluators/scientific/test_artifact_review_gate.py::test_artifact_review_gate_accepts_local_surrogate_with_disclosure,0,2.323,harness/lib/research/evaluator.py; harness/schemas/evidence/artifact_review.v1.schema.json; harness/plugins/autosci artifact-review adapter/backend,Experimental evidence and reasoning structure can be reviewed; real-world generalization/external validity remains dependent on domain data and human/Review LLM judgment.,Executable representative-core probe passed.
P22-WF-L2-048,Workflow Features,Evaluation,Claim & Acceptance-Criteria Comparison,1,Function implemented and test passed,PASS,wf_claim_gate,.\.venv\Scripts\python.exe -m pytest -q tests/harness/evaluators/scientific/test_claim_verdict_gate.py::test_claim_verdict_gate_accepts_evidence_linked_verdict,0,2.082,harness/plugins/autosci/adapters/autosci_to_claim_verdict.py::convert; harness/schemas/evidence/claim_verdict.v1.schema.json; harness/schemas/evidence/experiment_result.v1.schema.json,Claim-to-experiment comparison is typed. Automatic end-to-end mapping from benchmark results to original acceptance criteria is not a clearly unified implementation.,Executable representative-core probe passed.
P22-WF-L2-049,Workflow Features,Evaluation,"Verdict, Blocker & Residual-Risk Classification",1,Function implemented and test passed,PASS,wf_evaluation,.\.venv\Scripts\python.exe -m pytest -q tests/harness/research_unit/test_evaluator.py::test_evaluate_artifacts_passes_complete_artifact_set,0,1.9,harness/lib/research/evaluator.py::evaluate_final_closeout; harness/schemas/evidence/claim_verdict.v1.schema.json; harness/schemas/evidence/artifact_review.v1.schema.json,Several verdict vocabularies exist across schemas; ‘conditionally acceptable’ and residual-risk taxonomy are not fully unified.,Executable representative-core probe passed.
P22-WF-L2-050,Workflow Features,Evaluation,Refinement & Follow-Up Recording,1,Function implemented and test passed,PASS,wf_status_next,.\.venv\Scripts\python.exe -m pytest -q tests/harness/research_survey/test_status_next.py::test_status_next_done_when_finalize_passed,0,1.934,harness/lib/research/survey/diagnose.py::diagnose_survey; harness/lib/research/survey/status_next.py::survey_status_next_action; harness/plugins/autosci experiment-status adapter,Recording and status-next guidance exist; automatic implementation is correctly excluded from this L2.,Executable representative-core probe passed.
P22-WF-L2-051,Workflow Features,Delivery,Delivery Planning & Evidence Handoff,1,Function implemented and test passed,PASS,wf_publication,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_survey_rebuttal_and_poster_native_sidecars,0,8.402,"harness/plugins/autosci/bin/autosci_bridge.py::_action_plan_report, _approval_contract, _write_phase14_publication_sidecars; harness/plugins/autosci/adapters/autosci_to_publication_bundle.py::convert",Paper/poster/rebuttal/report planning is supported; a universal audience/permission/handoff-checklist schema is not complete.,Executable representative-core probe passed.
P22-WF-L2-052,Workflow Features,Delivery,User-Facing Deliverable Generation,1,Function implemented and test passed,PASS,wf_paper_draft,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_paper_draft_writes_latex_source,0,3.757,"harness/plugins/autosci/bin/autosci_bridge.py::_action_write_report, _action_build_poster, _action_draft_rebuttal; harness/plugins/autosci/adapters/autosci_to_scientific_report.py::convert","Concrete AutoSci outputs include paper/poster/rebuttal/report/survey. Proposal, technical roadmap, investment recommendation, and arbitrary visualization generators are not all explicit current implementations.",Executable representative-core probe passed.
P22-WF-L2-053,Workflow Features,Delivery,"Deliverable, Reusable Asset & Knowledge Packaging",1,Function implemented and test passed,PASS,wf_publication,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_survey_rebuttal_and_poster_native_sidecars,0,8.402,harness/plugins/autosci/adapters/autosci_to_publication_bundle.py::convert; harness/plugins/autosci/bin/autosci_bridge.py::_write_phase14_publication_sidecars,"Publication/research packaging is typed; general knowledge-base ingestion, reusable software packaging, and universal asset lifecycle metadata are not fully covered.",Executable representative-core probe passed.
P22-WF-L2-054,Workflow Features,Delivery,"Authorized Distribution, Knowledge Transfer & Lifecycle Closure",1,Function implemented and test passed,PASS,wf_publication,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_survey_rebuttal_and_poster_native_sidecars,0,8.402,"harness/plugins/autosci/bin/autosci_bridge.py::_approval_contract, _publication_submission_boundary, _daily_arxiv_final_provider_delivery_boundary; harness/lib/policy/action_policy.py","Specific publication and daily-arXiv delivery boundaries exist. General external distribution, recipient acceptance confirmation, universal knowledge transfer, lessons-learned storage, and lifecycle closure are partial/not unified.",Executable representative-core probe passed.
P22-FN-L2-055,Foundation Features,Capability capsule,Capability Capsule Definition & Assembly,1,Function implemented and test passed,PASS,fn_capsule_def,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_capability_capsules.py::test_validate_sample_capability_capsule_manifest_has_no_errors,0,2.174,"harness/lib/capability_capsules.py: normalize_capability_capsule(), load_capability_capsule_manifest(), validate_capability_capsule_semantics(), validate_capability_capsule()",Current code normalizes and validates manifests but does not build arbitrary dependency archives or install packaged resources.,Executable representative-core probe passed.
P22-FN-L2-056,Foundation Features,Capability capsule,"Capsule Governance, Certification & Registry Management",1,Function implemented and test passed,PASS,fn_capsule_registry,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_capability_capsules.py::test_registry_loader_and_query_skip_non_stable_by_default,0,1.927,"harness/lib/capability_capsules.py: load_capability_capsule_registry(), iter_registry_entries(), audit_stable_capsule_operator_bindings(), get_registry_entry(); harness/lib/skill_to_capsule_compiler.py","Validation, lookup, and auditing are shipped. A complete publish/suspend/deprecate transaction API and immutable audit store were not found.",Executable representative-core probe passed.
P22-FN-L2-057,Foundation Features,Capability capsule,"Capability Discovery, Scoring & Selection",1,Function implemented and test passed,PASS,fn_capsule_select,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_capability_capsules.py::test_default_capability_plan_for_logical_operator_maps_requirement_nodes,0,2.362,"harness/lib/capability_capsules.py: classify_task_goal(), query_capability_capsules(), default_capability_plan_for_logical_operator(), resolve_capability_capsule_for_task()",Compatibility/task heuristics and configured constraints are shipped; comprehensive learned quality/cost/performance ranking is partial.,Executable representative-core probe passed.
P22-FN-L2-058,Foundation Features,Capability capsule,Capsule Invocation & Composition,1,Function implemented and test passed,PASS,fn_capsule_invoke,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_capability_capsules.py::test_resolution_gate_attaches_guard_and_resource_capsules,0,2.06,"harness/lib/capability_capsules.py: _attach_referenced_capsules(), resolve_capability_capsule_for_envelope(); harness/lib/apo_plan_compiler.py: build_capsule_plan_ir(); harness/tools/skill_dispatch_operator.py: execute path and artifact writers",Resolution and referenced-capsule composition are shipped; no universal in-process executor supports every composition form described in the design document.,Executable representative-core probe passed.
P22-FN-L2-059,Foundation Features,Capability capsule,Capability Capsule Evolution & Version Promotion,2,Function implemented but test failed,FAIL,fn_gepa_promote,.\.venv\Scripts\python.exe -m pytest -q tests/harness/integrations/gepa_optimizer/test_promote.py::test_promote_writes_target_and_backup,1,2.218,"harness/lib/evolution_engine.py: scorecard(), promote(), demote_degraded(), run_loop(); harness/tools/skill_evolution_runner.py: run_once()",Generic scorecard/promotion controls and skill evolution exist; end-to-end capsule migration/version rollback as one transaction was not found.,"ine) as f:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = WindowsPath('/tmp/gepa_test_promote_17368_1784858550.txt'), mode = 'w'
buffering = -1, encoding = 'utf-8', errors = None, newline = None

    def open(self, mode='r', buffering=-1, encoding=None,
             errors=None, newline=None):
        """"""
        Open the file pointed to by this path and return a file object, as
        the built-in open() function does.
        """"""
        if ""b"" not in mode:
            encoding = io.text_encoding(encoding)
>       return io.open(self, mode, buffering, encoding, errors, newline)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E       FileNotFoundError: [Errno 2] No such file or directory: '\\tmp\\gepa_test_promote_17368_1784858550.txt'

tmp\test-deps\python\cpython-3.14.2-windows-x86_64-none\Lib\pathlib\__init__.py:771: FileNotFoundError
=========================== short test summary info ===========================
FAILED tests/harness/integrations/gepa_optimizer/test_promote.py::test_promote_writes_target_and_backup
1 failed in 1.23s
"
P22-FN-L2-060,Foundation Features,Operators,"Logical Operator Definition, Assembly & Registration",2,Function implemented but test failed,FAIL,fn_logical_schema,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_logical_operator_schema.py,1,42.454,"harness/lib/logical_operator_registry.py: load_logical_operator_registry(), logical_operator_def(), logical_operator_binding(); harness/config/logical-operators.json",Registry loading and schema validation are shipped; no dynamic service-level registration API was found.,"                                                                                                                                                                                       'minimum': 0,
E                                                                                                                                                                                                                                                    'maximum': 5}}}
E
E           On instance['logical_operators']['ScientificWorkflowEvolver']['required_capabilities']:
E               {'scientific_evidence': 3, 'artifact_curation': 2}

.venv\Lib\site-packages\jsonschema\validators.py:1332: ValidationError
=========================== short test summary info ===========================
FAILED tests/harness/test_logical_operator_schema.py::TestLogicalOperatorFixture::test_each_operator_has_primary_role
FAILED tests/harness/test_logical_operator_schema.py::TestBindingFixture::test_all_binding_candidates_exist_in_actor_registry
FAILED tests/harness/test_logical_operator_schema.py::TestLogicalOperatorFixtureSchemaValidation::test_fixture_validates_against_schema
3 failed, 99 passed in 41.44s
"
P22-FN-L2-061,Foundation Features,Operators,"Operator Qualification, Admission & Governance",1,Function implemented and test passed,PASS,fn_verification_gate,.\.venv\Scripts\python.exe -m pytest -q tests/harness/runtime/test_verification_gate.py::test_reject_code_task_without_test,0,1.971,"harness/lib/physical_operator_catalog.py: static_operator_rejection_reasons(), is_operator_statically_selectable(); harness/lib/plan_validator.py; harness/lib/verification_gate.py",Static selectability and plan/runtime gates exist; a complete operator certification lifecycle service is not found.,Executable representative-core probe passed.
P22-FN-L2-062,Foundation Features,Operators,"Logical-to-Physical Matching, Selection & Binding",2,Function implemented but test failed,FAIL,fn_operator_select,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_physical_operator_logical_selector.py::test_task_type_matching,4,1.626,"harness/lib/apo_plan_compiler.py: enumerate_physical_candidates(), build_physical_plan_for_capsule_node(); harness/lib/graph_scheduler.py: assign_workers(); harness/lib/logical_operator_router.py",Local configured candidates and deterministic ranking are shipped; global optimal scheduling across every provider is not claimed.,"ERROR: found no collectors for C:\Users\j50058254\Desktop\Github repo\OpenSolar-Canonical\tests\harness\test_physical_operator_logical_selector.py::test_task_type_matching

"
P22-FN-L2-063,Foundation Features,Operators,Physical Operator & Execution Fleet Management,2,Function implemented but test failed,FAIL,fn_operator_runtime,.\.venv\Scripts\python.exe -m pytest -q tests/harness/runtime/test_operator_runtime.py::test_operator_lease_lifecycle,4,1.685,"harness/lib/physical_operator_catalog.py; harness/lib/operator_runtime.py: load_registry(), acquire_operator_lease(), submit(), write_heartbeat(), write_result(); harness/lib/actor_runtime.py: ActorRuntime","Catalog/runtime support is shipped for configured surfaces; actual browser, CLI, remote, and subscription fleets remain environment-dependent.","ERROR: found no collectors for C:\Users\j50058254\Desktop\Github repo\OpenSolar-Canonical\tests\harness\runtime\test_operator_runtime.py::test_operator_lease_lifecycle

"
P22-FN-L2-064,Foundation Features,Operators,Operator Runtime Evaluation & Capability Profiling,1,Function implemented and test passed,PASS,fn_operator_score,.\.venv\Scripts\python.exe -m pytest -q tests/harness/runtime/test_operator_score.py::test_rank_actors,0,1.809,harness/lib/operator_score.py; harness/lib/model_call_runtime.py: record_model_event(); harness/lib/evolution_engine.py: scorecard(); harness/lib/operator_runtime.py runtime records,Runtime events and operator scoring exist; a single complete statistical profiling service with calibrated confidence is partial.,Executable representative-core probe passed.
P22-FN-L2-065,Foundation Features,Operators,Evaluator-Driven Operator Evolution,2,Function implemented but test failed,FAIL,fn_gepa_promote,.\.venv\Scripts\python.exe -m pytest -q tests/harness/integrations/gepa_optimizer/test_promote.py::test_promote_writes_target_and_backup,1,2.218,"harness/lib/evolution_engine.py: recommend(), run_loop(), promote(), demote_degraded(); core/nerve/evolution-engine.ts: EvolutionEngine",Generic evolution and scorecards exist; a dedicated end-to-end operator-definition evolution subsystem is partial.,"ine) as f:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = WindowsPath('/tmp/gepa_test_promote_17368_1784858550.txt'), mode = 'w'
buffering = -1, encoding = 'utf-8', errors = None, newline = None

    def open(self, mode='r', buffering=-1, encoding=None,
             errors=None, newline=None):
        """"""
        Open the file pointed to by this path and return a file object, as
        the built-in open() function does.
        """"""
        if ""b"" not in mode:
            encoding = io.text_encoding(encoding)
>       return io.open(self, mode, buffering, encoding, errors, newline)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E       FileNotFoundError: [Errno 2] No such file or directory: '\\tmp\\gepa_test_promote_17368_1784858550.txt'

tmp\test-deps\python\cpython-3.14.2-windows-x86_64-none\Lib\pathlib\__init__.py:771: FileNotFoundError
=========================== short test summary info ===========================
FAILED tests/harness/integrations/gepa_optimizer/test_promote.py::test_promote_writes_target_and_backup
1 failed in 1.23s
"
P22-FN-L2-066,Foundation Features,Evaluator,"Contract, Schema & Artifact Conformance Evaluator",1,Function implemented and test passed,PASS,fn_workflow_schema,.\.venv\Scripts\python.exe -m pytest -q tests/harness/workflow_contract/test_contract_schema.py::test_all_shipped_contracts_schema_valid,0,2.003,harness/lib/contract_gate_executor.py: execute_gate(); harness/lib/verification_gate.py: VerificationGate; harness/lib/workflow_contract.py: compile_checks(),Deterministic contract/evidence checks are shipped; they do not establish domain truth beyond their encoded rules.,Executable representative-core probe passed.
P22-FN-L2-067,Foundation Features,Evaluator,Engineering Correctness & Code Quality Evaluator,1,Function implemented and test passed,PASS,fn_verification_gate,.\.venv\Scripts\python.exe -m pytest -q tests/harness/runtime/test_verification_gate.py::test_reject_code_task_without_test,0,1.971,harness/lib/eval_runner.py: run_pack(); harness/lib/contract_gate_executor.py: execute_gate(); tests/ and tests/harness/ suites,Eval-pack and gate execution are generic; maintainability scoring and every scanner named in the L2 are not uniformly implemented.,Executable representative-core probe passed.
P22-FN-L2-068,Foundation Features,Evaluator,"Performance, Cost & Benchmark Evaluator",1,Function implemented and test passed,PASS,fn_benchmark_report,.\.venv\Scripts\python.exe -m pytest -q tests/harness/benchmark/test_benchmark_report_schema.py::test_run_json_contains_all_required_fields,0,1.988,"harness/lib/benchmark/runner.py: _cmd_plan(), _cmd_run(), _cmd_report(); harness/lib/benchmark/reports.py: write_run_artifacts()",Terminal-bench/Harbor-style adapters and generic reports are shipped; universal scalability/load testing is task-specific.,Executable representative-core probe passed.
P22-FN-L2-069,Foundation Features,Evaluator,"Security, Privacy, Compliance & IP Evaluator",1,Function implemented and test passed,PASS,fn_repo_hygiene,"""C:\Program Files\Git\bin\bash.exe"" -lc ""chmod +x \""$(pwd)/tests/platform/phase22/bin/python3\""; PATH=\""$(pwd)/tests/platform/phase22/bin:$PATH\"" ./tests/test_repo_hygiene.sh""",0,12.746,core/security/checks/*.sh; core/config/privacy.ts; harness/lib/verification_gate.py; tests/test_release_public_tree.sh and tests/qa_audit/.../test_misc_side_effect_gate_contracts.py,"Secret/privacy/permission checks exist, but a unified regulatory/compliance/copyright/IP evaluator covering every jurisdiction was not found.",Executable representative-core probe passed.
P22-FN-L2-070,Foundation Features,Evaluator,"Evidence, Factuality & Scientific Validity Evaluator",1,Function implemented and test passed,PASS,fn_evaluator,.\.venv\Scripts\python.exe -m pytest -q tests/harness/research_unit/test_evaluator.py::test_evaluate_artifacts_passes_complete_artifact_set,0,2.127,harness/lib/research/evaluator.py; harness/lib/research/evidence/ledger.py; harness/tools/review_model_runtime_proof.py; harness/schemas/evidence/*.schema.json,Schema/citation/evidence validity is shipped; broad external-knowledge plausibility requires supplied sources or optional provider review.,Executable representative-core probe passed.
P22-FN-L2-071,Foundation Features,Evaluator,"Lifecycle, Parity & Human Review Evaluator",1,Function implemented and test passed,PASS,fn_human_review,.\.venv\Scripts\python.exe -m pytest -q tests/harness/workflow_contract/test_instantiate.py::test_on_human_review_policy_carried_per_node,0,2.145,"harness/lib/graph_scheduler.py: enter_node_human_review(), validate_human_review_resume(), commit_human_review_resume(), _sprint_status_terminal(); tools/semantic_parity_runtime_proof.py",Lifecycle and human-review controls are shipped; parity evaluators are specialized proof tools rather than one universal semantic comparator.,Executable representative-core probe passed.
P22-FN-L2-072,Foundation Features,Foundational models,Model Capability Registry,1,Function implemented and test passed,PASS,fn_model_registry,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_model_registry_codex_aliases.py::test_codex_aliases_expose_provider_and_model_key,0,1.936,"harness/lib/model_registry.py: load_registry(), normalize(), spec(), validate_matrix(); harness/config/model-registry.json","Current registry records identity/provider/allowlists, not all claimed modalities, context sizes, tool-use and verified quality capabilities.",Executable representative-core probe passed.
P22-FN-L2-073,Foundation Features,Foundational models,Model Routing & Selection,1,Function implemented and test passed,PASS,fn_model_routing,.\.venv\Scripts\python.exe -m pytest -q tests/harness/graph/test_graph_scheduler_model_matching.py::test_sonnet_preferred_matches_anthropic_sonnet_alias_before_glm,0,2.112,"harness/lib/operator_model_selection.py: apply_model_selections(); harness/lib/graph_scheduler.py: _model_match(), assign_workers(); harness/config/model-scenario-routing.json",Scenario routing and worker model matching are shipped; comprehensive learned quality/cost optimization is partial.,Executable representative-core probe passed.
P22-FN-L2-074,Foundation Features,Foundational models,Model Usage Auditing,2,Function implemented but test failed,FAIL,fn_model_audit,.\.venv\Scripts\python.exe -m pytest -q tests/harness/runtime/test_model_call_runtime.py,2,1.929,"harness/lib/model_call_runtime.py: pane_runtime_metadata(), record_model_event(), main(); tests/harness/runtime/test_model_call_runtime.py","Call/provider/model/status capture is shipped; consistent user identity, exact cost, quota consumption, and policy-decision accounting are partial.","======================== ERRORS ====================================
______ ERROR collecting tests/harness/runtime/test_model_call_runtime.py ______
ImportError while importing test module 'C:\Users\j50058254\Desktop\Github repo\OpenSolar-Canonical\tests\harness\runtime\test_model_call_runtime.py'.
Hint: make sure your test modules/packages have valid Python names.
Traceback:
tmp\test-deps\python\cpython-3.14.2-windows-x86_64-none\Lib\importlib\__init__.py:88: in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
tests\harness\runtime\test_model_call_runtime.py:11: in <module>
    import model_call_runtime  # noqa: E402
    ^^^^^^^^^^^^^^^^^^^^^^^^^
harness\lib\model_call_runtime.py:26: in <module>
    from session_log import DuplicateEventError, SessionLog
harness\lib\session_log.py:21: in <module>
    import fcntl
E   ModuleNotFoundError: No module named 'fcntl'
=========================== short test summary info ===========================
ERROR tests/harness/runtime/test_model_call_runtime.py
!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.89s
"
